Time (s),Roll (deg),Pitch (deg),Yaw (deg)
16.447716713,-0.02997593,0.837325,-0.9320698
16.549292088,-0.02860196,0.8380331,-0.9330202
16.648391247,-0.02636794,0.8407201,-0.9338995
16.749967098,-0.02866254,0.8392048,-0.9370518
16.849065304,-0.03129853,0.8401133,-0.9412202
16.948163510,-0.03030858,0.8400499,-0.9421405
17.049740314,-0.0313771,0.8394714,-0.9441398
17.148838520,-0.03370393,0.8375484,-0.9457742
17.247936726,-0.0358003,0.8353524,-0.9496514
17.351990700,-0.03895968,0.8336458,-0.9507232
17.448611736,-0.04223952,0.832527,-0.9505844
17.547709942,-0.04297629,0.8350373,-0.9543961
17.649286270,-0.04199323,0.8339793,-0.9604452
17.748384953,-0.04213862,0.8328118,-0.9692694
17.849961281,-0.04032855,0.8325673,-0.9751498
17.949059487,-0.03689091,0.8331397,-0.9813796
18.048158169,-0.03667749,0.8336126,-0.9845392
18.149734497,-0.03824058,0.8317106,-0.9899545
18.248832703,-0.03771305,0.8308605,-0.9920628
18.347931862,-0.03739095,0.8289831,-0.9926602
18.449508190,-0.03485272,0.8273126,-0.9928226
18.548606396,-0.03766076,0.8264077,-0.9959894
18.647705078,-0.03543194,0.8244154,-1.00015
18.749281407,-0.03302733,0.8247322,-1.000801
18.848380566,-0.03383806,0.8266546,-1.002792
18.949955940,-0.03794333,0.826784,-1.004674
19.049055099,-0.03777256,0.8247246,-1.007066
19.148154259,-0.03613395,0.8211322,-1.008518
19.249730110,-0.03319795,0.8227,-1.011634
19.348828793,-0.03110338,0.8194447,-1.014991
19.447927952,-0.03044971,0.8196037,-1.017995
19.549503803,-0.02927459,0.8206646,-1.019048
19.648602963,-0.03230099,0.8237961,-1.020971
19.747701645,-0.03292444,0.8243824,-1.022558
19.849277973,-0.002048423,0.7306926,-3.647722
19.948376656,-0.05874714,0.7900474,-4.441061
20.049952984,-0.05349567,0.8008543,-3.967991
20.149052143,-0.1468803,0.7535145,-1.90068
20.248150349,0.01181259,0.8082479,3.704548
20.349727631,0.01160334,0.8528913,3.09516
20.448825836,-0.01185228,0.8573611,1.555687
20.547924996,-0.0353875,0.8743458,0.2962381
20.649501324,-0.03943436,0.8943835,0.2421322
20.748600483,0.0007237266,0.9199859,0.2432558
20.850176811,0.009726373,0.9279769,0.2445471
20.949275971,0.00813689,0.93799,0.2428328
21.048374653,0.0009612909,0.9524828,0.244595
21.149950981,0.003438225,0.9548237,0.2489353
21.249049664,0.004686856,0.9457878,0.2476475
21.348148823,0.01623959,0.9432702,0.2430301
21.449725628,0.03072889,0.953142,0.07182147
21.548823834,0.02645902,0.9534953,0.06040083
21.647922993,0.02515701,0.9553989,0.05697237
21.749500275,0.02756248,0.9538009,0.05704956
21.848598957,0.028821,0.9523605,0.05453098
21.947698117,0.03078361,0.9512324,0.05277351
22.049274445,0.02936014,0.951052,0.05039265
