Time (s),Gyroscope (deg/s),Accelerometer (g),Magnetometer (uT)
25.379842758,10.57046,0.9106838,42.96196
25.478981972,14.89745,1.111491,42.67278
25.578121662,17.18273,0.9448027,42.76356
25.679739952,19.46272,0.904519,41.47886
25.778879642,14.22193,1.045768,40.90062
25.878018856,2.680376,0.8922694,41.01502
25.979637146,8.08971,0.9518177,40.62741
26.078776836,11.27688,1.108106,40.83411
26.177916050,8.015388,0.9203868,41.10968
26.279534340,4.423483,1.00291,41.10968
26.378674030,3.028916,0.9447649,40.74685
26.477812767,1.441006,0.9698462,40.76884
26.579431534,4.011567,0.9848753,41.50478
26.678571224,1.344636,0.975485,40.80352
26.780188560,2.401922,0.9770691,40.86997
26.879328728,1.431362,0.9623595,40.80352
26.978468418,4.118742,0.9950987,40.74685
27.080085754,5.467128,0.8803185,40.81338
27.179225445,1.655978,0.9775037,40.40202
27.278365612,2.868965,0.9773328,40.8722
27.379982948,2.748454,0.9878855,40.8722
27.479122639,0.7123541,0.97731,41.34026
27.578261852,2.604502,0.9755634,41.51945
27.679880142,2.317518,0.9684376,41.57511
27.779019833,2.779768,0.9712895,40.8189
27.878159046,7.249618,0.9596832,41.18199
27.979777336,3.041881,0.9830067,41.41764
28.078916550,0.7645686,0.9700312,41.35892
28.178056240,2.221885,0.9797328,41.00686
28.279674530,2.303613,0.962797,41.24163
28.378813744,2.385423,0.9855465,41.28788
28.477953434,2.729873,0.9824326,40.81699
28.579571247,2.628345,0.9743466,41.28788
28.678710937,2.194389,0.9824218,41.33121
28.777850628,1.422171,0.9672777,40.77111
28.879467964,1.478101,0.9839356,41.18199
28.978608131,1.373893,0.9800586,41.87123
29.077747822,1.451486,0.9713714,41.64482
29.179365158,1.906417,0.9875855,41.10731
29.278504849,0.476019,0.9786553,41.12293
29.380122662,2.098333,0.9633457,41.34234
29.479262352,1.67521,0.9750555,41.45428
29.578401566,2.844488,0.9624047,41.54011
29.680019855,2.918114,0.9636161,41.34234
29.779159069,4.367922,0.9685809,40.97983
29.878298759,3.520869,0.9861642,40.99838
29.979916573,2.65126,0.9481889,41.46257
30.079056263,2.403076,0.9626407,41.69355
30.178195953,1.09212,0.9701843,40.99838
30.279813767,1.075011,0.9812611,41.35243
30.378953457,2.464258,0.9686368,41.01114
30.478092194,1.723246,0.986318,40.95183
30.579710484,2.125706,0.9532814,40.99838
30.678849697,1.598522,0.9894875,41.84262
30.777989387,1.40999,0.9878931,41.52182
30.879607201,1.057026,0.983768,41.35243
30.978746891,1.182158,0.981968,41.36721
31.077886105,0.7308986,0.9945277,41.55307
31.179504395,1.924908,0.9705179,41.59575
31.278643608,2.401886,0.9788712,41.18266
31.377783299,3.61085,0.9957471,41.28788
31.479400635,2.540205,0.9717093,41.12293
31.578540325,2.916034,0.9992661,41.6416
31.680158138,7.297734,1.052357,40.8189
31.779297829,6.436755,0.970488,41.10749
31.878437042,6.925581,0.9890237,40.56699
31.980055332,8.566155,0.9988315,41.51503
32.079194546,4.819256,0.8989435,41.15731
32.178334236,3.064828,0.9808038,41.74284
32.279952049,3.875965,0.973213,41.17256
32.379091740,2.918352,0.9368559,41.58575
32.478230476,3.914604,0.9858563,41.5366
32.579849243,5.856484,0.9945732,41.46087
32.678987980,4.13869,0.9933112,40.867
32.778127670,1.674187,0.9545323,40.99811
32.879745483,2.25781,0.9898359,41.35892
32.978885174,1.60268,0.9927564,40.4473
33.078024387,2.403373,1.000077,41.67657
33.179642201,1.204919,0.9603603,41.13212
33.278781891,2.55756,0.986966,40.867
33.377925396,1.008045,0.9764419,41.5503
33.479538918,1.264756,0.9855512,41.74957
33.578678131,2.660858,0.97228,41.4083
33.677817821,0.6570834,0.9859247,41.22897
33.779435635,2.206904,0.9831016,41.0824
33.878575325,1.515898,0.9711749,40.99811
33.977714539,1.402284,0.974427,41.7006
34.079332829,1.719915,0.9740456,41.22897
34.178472042,1.736588,0.9812639,40.63433
34.280089378,1.193126,0.9730777,41.00686
34.379229069,0.9784923,0.9856774,41.28788
