Time (s),W,X,Y,Z
2.799299717,0.9284991,0.03608145,-0.2864681,-0.2261666
2.819117546,0.9283781,0.03595376,-0.2875255,-0.2253405
2.838935852,0.9285178,0.03475241,-0.2873209,-0.2252141
2.858753681,0.9286504,0.03339501,-0.2884407,-0.2234342
2.878571510,0.9281487,0.03240941,-0.2919845,-0.2210486
2.898389816,0.9273058,0.03107721,-0.2965753,-0.2186524
2.918207645,0.926863,0.03008707,-0.2996853,-0.2164164
2.938026428,0.926501,0.02931481,-0.3018661,-0.2150375
2.957844257,0.9259442,0.02962876,-0.3042792,-0.213989
2.977661610,0.9254428,0.03028303,-0.3069995,-0.2121736
2.999957561,0.9250587,0.03000828,-0.3091353,-0.2107817
3.019775391,0.9248432,0.03005039,-0.3102162,-0.2101322
3.039593697,0.9247864,0.03068104,-0.3108322,-0.2093795
3.059411526,0.9244056,0.03031234,-0.3125283,-0.2085885
3.079229355,0.9236575,0.03003377,-0.3152892,-0.2077864
3.099048138,0.9230792,0.03027564,-0.3175326,-0.206903
3.118865967,0.9224964,0.02983388,-0.3195476,-0.2064642
3.138684273,0.9221895,0.02960345,-0.3206647,-0.206136
3.158502102,0.9219414,0.02917785,-0.3214751,-0.2060441
3.178320408,0.9216855,0.02873664,-0.3221706,-0.2061648
3.198138237,0.921277,0.02828171,-0.3231134,-0.2065779
3.217956066,0.9207878,0.02819221,-0.3237199,-0.2078176
3.237774849,0.9203953,0.02806029,-0.3241457,-0.2089079
3.257592678,0.9200013,0.02746611,-0.3248849,-0.2095726
3.279888153,0.9196024,0.0271784,-0.3258794,-0.2098169
3.299705982,0.919207,0.02720536,-0.3277705,-0.2085972
3.319523811,0.9185168,0.02681383,-0.3298557,-0.2084006
3.339342594,0.9179012,0.02658568,-0.3310164,-0.2092997
3.359160423,0.9176638,0.02621993,-0.3315589,-0.2095286
3.378978729,0.9178533,0.02530519,-0.3314741,-0.2089441
3.398796558,0.9183066,0.02474848,-0.3304034,-0.2087143
3.418614388,0.918751,0.0249508,-0.3288827,-0.2091359
3.438432694,0.9185272,0.02597551,-0.3285669,-0.2104865
3.458250523,0.9175966,0.02786794,-0.3304073,-0.2114199
3.478069306,0.9159523,0.03146722,-0.3335519,-0.213101
3.497886658,0.9141493,0.03497196,-0.3370132,-0.2148437
3.517705441,0.9124405,0.03745094,-0.3404097,-0.2163301
3.537523270,0.9104558,0.0386323,-0.345039,-0.2171493
3.559818268,0.9086316,0.03777241,-0.3496878,-0.2175045
3.579636574,0.9074811,0.03813478,-0.3522376,-0.2181291
3.599454403,0.9066735,0.04038098,-0.3533567,-0.2192701
3.619273186,0.9061172,0.04356955,-0.3531056,-0.2213538
3.639091015,0.9054828,0.04647062,-0.3536753,-0.2224479
3.658909321,0.9048092,0.04855399,-0.3547863,-0.2229735
3.678727150,0.9043339,0.04968911,-0.3558748,-0.2229166
3.698544979,0.9035613,0.049859,-0.35827,-0.222174
3.718363285,0.9030775,0.05052361,-0.3595832,-0.2218694
3.738181114,0.9028985,0.05165353,-0.3594446,-0.2225611
3.757999897,0.9025697,0.05265823,-0.3603059,-0.2222665
3.777817726,0.9019068,0.05345826,-0.3614664,-0.2228813
3.797636032,0.9016067,0.05398867,-0.3629595,-0.221537
3.817453861,0.9016749,0.05270196,-0.3640437,-0.219783
