Time (s),XX,XY,XZ,YX,YY,YZ,ZX,ZY,ZZ
0.307137489,0.9924988,-0.02631157,0.02855105,0.02533319,0.9923533,0.0339921,-0.02942261,-0.03324056,0.9922662
0.309614182,0.9924992,-0.02628607,0.02856233,0.02530677,0.9923533,0.0340106,-0.02943351,-0.03325953,0.9922653
0.312090874,0.9924995,-0.02624472,0.02858714,0.02526429,0.992354,0.03402106,-0.02945718,-0.03327058,0.9922642
0.314568043,0.9924994,-0.02619816,0.02862643,0.02521629,0.9923549,0.03402554,-0.029495,-0.03327544,0.9922627
0.317044735,0.9925,-0.02614926,0.02866456,0.02516561,0.992356,0.03404298,-0.0295319,-0.03329337,0.9922615
0.319522381,0.9925004,-0.02609763,0.02869696,0.02511233,0.9923567,0.03406208,-0.02956302,-0.03331318,0.9922599
0.321999073,0.992501,-0.02605409,0.028723,0.02506687,0.9923568,0.03409781,-0.02958849,-0.03334956,0.992258
0.324475288,0.9925008,-0.02600826,0.02875279,0.02501869,0.9923559,0.03414359,-0.02961787,-0.03339596,0.9922552
0.326952934,0.9925011,-0.02597056,0.02878092,0.02497882,0.9923556,0.03418488,-0.02964574,-0.03343767,0.9922529
0.329429627,0.9925013,-0.0259404,0.02879968,0.02494726,0.9923554,0.0342109,-0.02966413,-0.03346412,0.9922515
0.331906796,0.992502,-0.02591866,0.0287982,0.02492474,0.9923551,0.03423889,-0.02966261,-0.03349278,0.9922506
0.334383488,0.9925028,-0.02590248,0.02878081,0.02490822,0.9923544,0.03426998,-0.02964547,-0.0335248,0.99225
0.336860180,0.9925045,-0.02588405,0.02873997,0.02488948,0.992353,0.0343264,-0.02960546,-0.03358279,0.9922493
0.339337349,0.9925063,-0.02587655,0.02868615,0.02488217,0.9923513,0.03438141,-0.02955282,-0.03363938,0.992249
0.341814041,0.9925086,-0.02586963,0.02860747,0.02487588,0.992349,0.03444999,-0.02947568,-0.03371014,0.9922488
0.344291210,0.9925116,-0.02585262,0.02851806,0.02485939,0.9923464,0.03453505,-0.0293879,-0.03379794,0.9922484
0.346767902,0.9925156,-0.02581976,0.02842187,0.02482737,0.9923447,0.03461757,-0.02929274,-0.03388384,0.9922486
0.349245071,0.9925188,-0.02578185,0.02833275,0.02478983,0.9923422,0.03470894,-0.02920468,-0.03397855,0.9922476
0.351721764,0.9925232,-0.02573535,0.02822273,0.02474463,0.9923404,0.03479293,-0.02909526,-0.03406665,0.9922479
0.354198456,0.9925275,-0.02568059,0.02811424,0.0246916,0.9923392,0.03486124,-0.02898668,-0.03413925,0.9922485
0.356675625,0.992532,-0.02561517,0.02801646,0.02462767,0.9923385,0.03492588,-0.02888834,-0.03420822,0.992249
0.359152317,0.9925366,-0.02554355,0.02792035,0.02455798,0.9923387,0.03497383,-0.02879105,-0.03426062,0.9922501
0.361629963,0.9925405,-0.02547131,0.02784466,0.02448753,0.9923394,0.03500257,-0.02871365,-0.03429331,0.9922511
0.364106655,0.9925448,-0.02539583,0.02777678,0.02441409,0.9923412,0.03501343,-0.02864349,-0.03430802,0.9922531
0.366582871,0.992548,-0.02531177,0.02772193,0.02433228,0.9923432,0.03500119,-0.0285855,-0.03429953,0.9922546
0.369060516,0.9925516,-0.02521926,0.02767652,0.02424236,0.9923466,0.03496647,-0.0285361,-0.03426857,0.9922571
0.371537209,0.9925547,-0.02513729,0.02764049,0.02416271,0.9923499,0.03492928,-0.02849638,-0.03423459,0.9922594
0.374014378,0.9925575,-0.02505782,0.02761067,0.02408556,0.9923533,0.03488453,-0.02846277,-0.03419284,0.9922617
0.376491070,0.9995927,-0.0009780225,0.02850461,-4.656613E-09,0.9994114,0.034291,-0.02852139,-0.03427706,0.9990048
0.378967762,0.9928302,-0.0009164306,0.02836301,-5.593782E-05,0.9926491,0.0341473,-0.02837775,-0.03413505,0.9922452
0.381444931,0.9928525,-0.0008635559,0.02831716,-0.0001063889,0.9926711,0.03411805,-0.02833013,-0.03410729,0.9922685
0.383921623,0.9928544,-0.0008213777,0.02825373,-0.0001459105,0.9926717,0.03410128,-0.02826529,-0.0340917,0.9922709
0.386398792,0.9928564,-0.0007769436,0.02818252,-0.0001876435,0.992672,0.03409227,-0.0281926,-0.03408394,0.9922733
0.388875484,0.9928583,-0.0007276105,0.02812074,-0.0002349748,0.9926719,0.03409659,-0.02812917,-0.03408964,0.9922749
0.391352653,0.9928601,-0.0006842341,0.02805953,-0.0002771183,0.9926709,0.03412748,-0.0280665,-0.03412174,0.9922756
0.393829346,0.9928621,-0.000651482,0.02798745,-0.000308427,0.9926696,0.03416421,-0.02799333,-0.03415939,0.9922763
0.396306038,0.9928642,-0.0006272221,0.02790925,-0.0003315274,0.9926676,0.03421869,-0.02791433,-0.03421455,0.9922765
0.398783684,0.9928664,-0.0006163371,0.02783234,-0.0003413332,0.9926656,0.03427468,-0.02783707,-0.03427083,0.9922768
0.401259899,0.9928689,-0.0006134745,0.02775616,-0.0003434095,0.9926638,0.03434053,-0.02776082,-0.03433676,0.992277
0.403737545,0.9928709,-0.0006163942,0.02768081,-0.0003400894,0.992661,0.03441954,-0.02768558,-0.0344157,0.9922763
0.406214237,0.9928719,-0.0006242724,0.02763112,-0.0003321161,0.9926587,0.03447791,-0.02763618,-0.03447386,0.9922754
0.408690929,0.9928732,-0.0006293507,0.02759919,-0.0003273215,0.9926573,0.03452799,-0.02760442,-0.0345238,0.9922749
0.411168098,0.9928732,-0.0006310163,0.02758836,-0.0003258357,0.9926563,0.034548,-0.02759365,-0.03454378,0.9922742
0.413644791,0.992873,-0.0006294348,0.02759966,-0.0003276256,0.9926566,0.03454138,-0.0276049,-0.0345372,0.9922742
0.416121960,0.992872,-0.0006220438,0.02763308,-0.0003352257,0.9926577,0.03450723,-0.02763804,-0.03450325,0.9922744
0.421075821,0.9928685,-0.0005566793,0.02774861,-0.0004015708,0.9926612,0.03439929,-0.02775129,-0.03439713,0.9922746
0.423552513,0.9928672,-0.0004990541,0.02781773,-0.0004598647,0.9926638,0.03433822,-0.0278184,-0.03433767,0.9922754
0.426029205,0.992865,-0.0004311496,0.0278797,-0.0005283213,0.9926652,0.0342821,-0.02787803,-0.03428346,0.9922751
