Time (s),Roll (deg),Pitch (deg),Yaw (deg)
3.180407047,0.1847081,-0.019696,-162.2566
3.200222492,0.183724,-0.02009289,-162.2665
3.220037937,0.1818593,-0.02059514,-162.2766
3.239853859,0.1815117,-0.02070252,-162.2733
3.259669781,0.1819758,-0.0196653,-162.2661
3.279485703,0.1817852,-0.01919502,-162.2603
3.299301148,0.1820627,-0.02082349,-162.2557
3.319116592,0.18382,-0.02121792,-162.251
3.338932514,0.1848112,-0.02208768,-162.2489
3.358747959,0.1838695,-0.0207954,-162.2476
3.378563881,0.1842966,-0.02137038,-162.2465
3.398379803,0.1843962,-0.02110962,-162.2447
3.418195725,0.1862326,-0.01880327,-162.2431
3.440487862,0.1852802,-0.02003439,-162.25
3.460303784,0.184469,-0.01933028,-162.2582
3.480119705,0.1822629,-0.01879286,-162.2666
3.499934673,0.1812805,-0.01807232,-162.2722
3.519750595,0.18317,-0.01844061,-162.2762
3.539566517,0.1841449,-0.01885186,-162.2806
3.559382439,0.1834476,-0.01913808,-162.2862
3.579197884,0.1821007,-0.01804867,-162.2922
3.599013806,0.1825181,-0.01819972,-162.2948
3.618828774,0.1817233,-0.01726773,-162.2997
3.638644695,0.1805414,-0.0162804,-162.302
3.658460617,0.1793066,-0.01479453,-162.3034
3.678276539,0.179989,-0.01480108,-162.3061
3.700568676,0.1805538,-0.01686717,-162.3084
3.720384598,0.1812767,-0.0172134,-162.3094
3.740200520,0.1806307,-0.01726779,-162.3076
3.760016442,0.1794484,-0.01678601,-162.3037
3.779832363,0.1793035,-0.01684335,-162.2996
3.799647331,0.180453,-0.01642528,-162.2943
3.819463253,0.1833829,-0.01633863,-162.288
3.839278698,0.183212,-0.01540688,-162.2836
3.859094620,0.1822305,-0.01476532,-162.2801
3.878910542,0.1816973,-0.01402394,-162.2752
3.898726464,0.1818025,-0.01273644,-162.2722
3.918542385,0.1820303,-0.01187768,-162.2697
3.938357830,0.183172,-0.01111058,-162.2668
3.958173275,0.1827208,-0.009677883,-162.2652
3.980466366,0.1817468,-0.01036492,-162.2639
4.000282288,0.1821264,-0.008052989,-162.2649
4.020097256,0.1821651,-0.005978072,-162.2657
4.039913177,0.1829939,-0.005613557,-162.2676
4.059728622,0.1828261,-0.006398175,-162.2736
4.079544544,0.1852897,-0.007415392,-162.2794
4.099360466,0.1827347,-0.006159964,-162.2779
4.119176388,0.1845164,-0.007270663,-162.2759
4.138991833,0.1849646,-0.005805039,-162.2691
4.158807755,0.1847644,-0.005295521,-162.2524
4.178623200,0.1827309,-0.005741141,-162.2368
4.198438644,0.1831387,-0.004935137,-162.232
4.218254566,0.1816201,-0.002285088,-162.2278
4.240547657,0.1835907,-0.001869602,-162.2233
4.260363102,0.1838016,-0.001388663,-162.2209
4.280178547,0.1824391,0.0002421032,-162.2182
4.299994469,0.1837504,0.0003315543,-162.2192
4.319810391,0.183546,-0.0003571275,-162.2224
4.339626312,0.1839836,-0.0008674724,-162.2245
4.359441757,0.1835849,-0.001052389,-162.2249
4.379257679,0.1838357,0.000850582,-162.2254
4.399073601,0.1845108,0.002892652,-162.2228
4.418889523,0.1824116,0.002447705,-162.2213
4.438704491,0.1832424,0.002635556,-162.2238
4.458520413,0.1835488,0.002378478,-162.2359
4.478336334,0.1834102,0.003950202,-162.2482
4.498151779,0.1848904,0.005580665,-162.2487
4.520444393,0.1858322,0.00730424,-162.2471
4.540260315,0.1869334,0.00706511,-162.2457
