Time (s),W,X,Y,Z
5.647481918,0.9891983,-0.01645797,0.1335006,0.004605572
5.667297840,0.9892038,-0.01672619,0.1334258,0.004616499
5.687113285,0.9892374,-0.01686639,0.1331553,0.004701819
5.706929207,0.9892561,-0.01718906,0.1329756,0.004685536
5.726745129,0.9892423,-0.01770512,0.1330154,0.004578712
5.746561051,0.9891914,-0.0181776,0.133329,0.004585842
5.766377449,0.9891171,-0.01862314,0.133817,0.004594105
5.786193371,0.9890167,-0.01908251,0.1344908,0.004656522
5.806008816,0.9889064,-0.01927672,0.1352695,0.004744384
5.825824738,0.988789,-0.01920607,0.1361324,0.004804121
5.845640660,0.9886199,-0.01888483,0.1374012,0.004767446
5.865456581,0.9883864,-0.01768899,0.1392277,0.004782636
5.885272026,0.9881207,-0.01586276,0.1413203,0.004690752
5.907564640,0.9880831,-0.01695056,0.1414589,0.004655624
5.927380562,0.9880692,-0.01724301,0.1415206,0.004645726
5.947196484,0.9880669,-0.01772,0.1414782,0.004630987
5.967011929,0.9880531,-0.01808604,0.1415289,0.004586741
5.986827850,0.9880595,-0.01835385,0.1414502,0.004596861
6.006643772,0.9880567,-0.01842765,0.1414585,0.004635423
6.026459694,0.9880544,-0.0185812,0.1414532,0.004672095
6.046275139,0.9880566,-0.01870224,0.1414178,0.004796167
6.066092014,0.9881144,-0.01888804,0.140983,0.004980964
6.085907459,0.9882268,-0.01863648,0.1402195,0.005168856
6.105723381,0.9883196,-0.0185705,0.1395756,0.005084815
6.125539303,0.988369,-0.01858751,0.1392245,0.005047495
6.145355225,0.9884478,-0.01849692,0.1386732,0.005108214
6.165171146,0.9885818,-0.01851124,0.1377121,0.00514197
6.187463284,0.9887462,-0.01848275,0.1365255,0.005283315
6.207279205,0.9889588,-0.01838443,0.1349831,0.005461432
6.227095127,0.9892512,-0.01844944,0.1327989,0.005806393
6.246910572,0.9896439,-0.01814971,0.1298541,0.006414742
6.266726494,0.9900883,-0.01790363,0.1264427,0.006676981
6.286542893,0.9906332,-0.0178046,0.1221386,0.006223546
6.306358814,0.9913199,-0.01768363,0.1164874,0.005528828
6.326174736,0.9919799,-0.01736215,0.1108286,0.004378495
6.345990658,0.9925444,-0.01921783,0.1053812,0.002966227
6.365806103,0.9928828,-0.02232137,0.1014806,0.003838631
6.385622025,0.993061,-0.021014,0.09992964,0.005468914
6.405437946,0.9932749,-0.02065223,0.09786796,0.005292364
6.425253868,0.9934375,-0.02044136,0.09622675,0.005672951
6.447546005,0.993539,-0.02082316,0.09508762,0.005707558
6.467362881,0.9936296,-0.02127941,0.09404065,0.005609432
6.487178326,0.9937439,-0.02186791,0.09269301,0.005535277
6.506994248,0.993907,-0.02178785,0.09094712,0.00551568
6.526810169,0.9939582,-0.02224226,0.09027642,0.005484761
6.546626091,0.9939447,-0.02210151,0.09045806,0.005533801
6.566441536,0.9939498,-0.02189739,0.09044965,0.005553633
6.586257458,0.9939508,-0.02175859,0.09047329,0.005551697
6.606073380,0.9939563,-0.02157588,0.09045511,0.005579305
6.625889301,0.9939557,-0.02147338,0.09048372,0.005614863
6.645705223,0.9939521,-0.02151345,0.09051429,0.005597774
6.665520668,0.9939572,-0.02150447,0.09045879,0.005618072
6.685336590,0.9939621,-0.02139238,0.0904265,0.005683081
6.707629681,0.9939665,-0.02128115,0.09040191,0.005729178
6.727445603,0.9939702,-0.02114797,0.09038938,0.00576855
6.747261524,0.9939682,-0.02115235,0.09040942,0.005785219
6.767076969,0.9939623,-0.02129025,0.09044265,0.005771977
6.786892891,0.9939643,-0.0214128,0.0903935,0.005780101
6.806708813,0.9939619,-0.02146254,0.09040478,0.005810421
6.826524735,0.9939706,-0.02150342,0.09029856,0.005834247
6.846340656,0.9939917,-0.02127735,0.09011269,0.005928039
6.866156101,0.9940171,-0.02113806,0.08985879,0.00602731
6.885972023,0.9940156,-0.02102242,0.08989854,0.006079731
6.905788422,0.994018,-0.02083489,0.08991444,0.006110741
6.925604344,0.9940249,-0.0205734,0.08989719,0.006131635
6.945420265,0.9940406,-0.0203003,0.08977959,0.006195051
6.965236187,0.9940414,-0.02005327,0.08982582,0.006211453
6.987528324,0.9940268,-0.02001913,0.08999876,0.006143944
7.007344246,0.9940143,-0.02001196,0.09014095,0.006108176
7.027160645,0.9940119,-0.02002543,0.09016456,0.00611396
7.046976566,0.9940205,-0.0200951,0.0900555,0.006089841
7.066792488,0.9940263,-0.02019901,0.08996725,0.006099238
7.086607933,0.9940147,-0.02039054,0.09005452,0.006084262
7.106423855,0.9940063,-0.02062474,0.09009112,0.006110478
7.126239777,0.9940013,-0.02087402,0.09008696,0.006147815
7.146055698,0.9939858,-0.02116387,0.09018872,0.006177827
7.165871620,0.9939712,-0.02153133,0.09026292,0.006157584
7.185687065,0.9939585,-0.0219314,0.09030198,0.006212516
7.205502987,0.9939318,-0.02229317,0.09050261,0.00627946
7.225318909,0.9939078,-0.02249614,0.09070957,0.006380778
7.245135307,0.9938923,-0.02273133,0.09081883,0.006407193
7.267427921,0.9938858,-0.0228991,0.09084295,0.006476315
7.287243366,0.9938689,-0.02296223,0.09099951,0.006639604
7.307059288,0.9938306,-0.02299177,0.09139309,0.006860104
7.326875210,0.9937967,-0.02301813,0.09173498,0.007126308
7.346691609,0.9937488,-0.02289985,0.09226905,0.007277944
7.366507530,0.9936956,-0.02282479,0.0928607,0.007248802
7.386323452,0.9936557,-0.02280618,0.09330249,0.007122605
7.406138897,0.9936565,-0.02278171,0.09329704,0.007150046
7.425954819,0.993655,-0.02263641,0.09334866,0.00716135
7.445770741,0.9936452,-0.0226245,0.09345937,0.0070911
7.465586662,0.9936087,-0.02260333,0.09386173,0.006971207
7.485402584,0.9935615,-0.02287251,0.09429968,0.00690587
7.505218029,0.9935161,-0.02277723,0.09480371,0.006863526
7.527511120,0.9934929,-0.0228342,0.095035,0.006828576
7.547327042,0.9935071,-0.02286631,0.09486619,0.006982063
7.567142964,0.9935173,-0.0228982,0.09474714,0.007061874
7.586958885,0.9935426,-0.02309602,0.09442281,0.007184781
7.606774330,0.9936033,-0.02289776,0.09382391,0.007267941
7.626590252,0.9936835,-0.02311601,0.09292401,0.007178628
7.646406651,0.993814,-0.02304382,0.09153964,0.007128677
7.666222572,0.9939501,-0.02331581,0.08998633,0.007043139
7.686038494,0.9939606,-0.02321743,0.08988526,0.007176336
7.705854416,0.9939762,-0.02325529,0.08970183,0.007210059
7.725669861,0.9939914,-0.02325773,0.08952917,0.007238696
7.745485783,0.9939967,-0.02317989,0.08948563,0.007284798
7.765301705,0.9939905,-0.02302152,0.08959558,0.007285636
7.787594795,0.9939607,-0.02276879,0.08999258,0.007256827
7.807410717,0.9939365,-0.02246213,0.09033132,0.007318841
7.827226639,0.9939328,-0.02198997,0.09048527,0.007349709
7.847042084,0.9939332,-0.02161923,0.09056592,0.007404224
7.866858006,0.9939352,-0.02108537,0.09066718,0.007434704
7.886673928,0.9939346,-0.02048292,0.09081418,0.007405846
7.906490326,0.9939096,-0.01992889,0.0912141,0.007374838
7.926306248,0.9938678,-0.01934509,0.09179419,0.007347456
7.946122170,0.9938233,-0.01888502,0.09237203,0.007327123
7.965937615,0.9937621,-0.01846755,0.09310442,0.007405651
7.985753536,0.9936587,-0.01794026,0.09428777,0.007611085
8.005569458,0.9935708,-0.01717457,0.09534036,0.007746601
8.025385380,0.9935824,-0.0167149,0.09530651,0.007672404
8.045200825,0.9936865,-0.01631014,0.09428781,0.007656072
8.067494392,0.9938899,-0.01621405,0.09213451,0.007678075
8.087309837,0.9940322,-0.01628296,0.09057336,0.007677624
8.107125759,0.9941409,-0.01677408,0.08929185,0.007553137
8.126941681,0.994295,-0.01720895,0.08748065,0.007486975
8.146758080,0.9944488,-0.01781088,0.08559091,0.007498431
8.166574001,0.9945562,-0.01847919,0.08418549,0.007540295
8.186389923,0.9946064,-0.01915208,0.08343985,0.00753673
8.206205368,0.9946037,-0.01986643,0.08330999,0.00748485
8.226021290,0.9945789,-0.02052214,0.08345071,0.007432438
8.245837212,0.9945423,-0.02113971,0.08373552,0.007391466
8.265653133,0.9945008,-0.0217003,0.08408741,0.007359467
8.285469532,0.9944552,-0.02219592,0.08449926,0.007328175
8.305285454,0.9944128,-0.02260416,0.08489435,0.00727542
8.325100899,0.9943697,-0.02293162,0.08530932,0.007268162
8.347393990,0.9943248,-0.02320001,0.08576114,0.007259431
8.367209911,0.9942812,-0.02340199,0.08621194,0.007232492
8.387025833,0.9942396,-0.02367114,0.08662439,0.007150072
8.406841755,0.994206,-0.02393044,0.08694582,0.007076739
8.426657200,0.9941807,-0.0241736,0.08716739,0.007076966
8.446473122,0.9941691,-0.02440403,0.08723456,0.007073209
8.466289044,0.9941595,-0.02462028,0.08728244,0.007083547
8.486105442,0.9941609,-0.02473101,0.08723702,0.007073259
8.505921364,0.9941677,-0.02485155,0.08712421,0.007069643
8.525737286,0.9941807,-0.02498998,0.08693641,0.007065224
8.545552731,0.9942005,-0.02512384,0.08667025,0.007076425
8.565368652,0.9942344,-0.02525976,0.08624066,0.007073065
8.585184574,0.994287,-0.02542942,0.08558292,0.007069938
8.607477665,0.994347,-0.02553911,0.08484852,0.007088159
8.627293587,0.994384,-0.02552226,0.08441704,0.007113177
8.647109509,0.9944048,-0.02550317,0.08417748,0.007118085
8.666924954,0.9944259,-0.02553672,0.08391723,0.007107789
8.686741829,0.9944468,-0.02567801,0.08362709,0.00709767
8.706557274,0.9944619,-0.0258706,0.0833846,0.007129388
8.726373196,0.9944628,-0.02605289,0.08331717,0.007146723
8.746189118,0.9944572,-0.02616712,0.08334743,0.007156713
8.766005039,0.994451,-0.02627384,0.08338651,0.007158672
8.785820484,0.9944447,-0.02641138,0.08341881,0.007156544
8.805637360,0.99444,-0.02655705,0.08342838,0.007166748
8.825452805,0.9944361,-0.02670615,0.08342699,0.007173632
8.845268727,0.9944359,-0.02684025,0.0833858,0.007164918
8.867561817,0.9944236,-0.02702397,0.08347355,0.007164547
8.887377739,0.9944159,-0.02721845,0.08349986,0.007182737
8.907193661,0.9944093,-0.02744538,0.08350337,0.007199216
