Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (uT),Magnetometer Y (uT),Magnetometer Z (uT),Barometer (hPa)
2.400164604,0.1364664,0.0009917939,-0.2209152,0.0004807021,0.002371072,0.9994516,-29.18097,10.07872,-25.2703,1003.659
2.419980526,0.2589334,-0.1200336,-0.2209152,0.001484999,-0.001512259,1.002322,-29.16793,9.360968,-24.43397,1003.659
2.439795971,0.07523298,0.0009917939,-0.2209152,0.00242057,0.003354989,0.9994461,-29.16793,9.360968,-24.43397,1003.658
2.459611893,0.1364664,0.1220172,-0.1597527,0.005314506,0.003841781,0.9931579,-29.16793,9.360968,-24.43397,1003.658
2.479427338,0.1364664,0.1825299,-0.2209152,0.001948974,0.001896385,1.001372,-29.484,9.708708,-25.26266,1003.659
2.499242783,-0.04723396,-0.05952091,-0.2820776,0.006380484,-0.004886188,1.00614,-29.484,9.708708,-25.26266,1003.659
2.519058704,0.1976999,0.1220172,-0.2209152,0.001957149,0.0004356115,1.001364,-29.4833,9.715925,-24.88264,1003.658
2.538874626,0.07523298,0.0615045,-0.2209152,0.002442924,-5.113939E-05,1.000394,-29.4833,9.715925,-24.88264,1003.658
2.558689594,0.07523298,0.364068,-0.09859026,0.003874085,0.002869756,0.9970222,-29.4833,9.715925,-24.88264,1003.657
2.578505516,0.1976999,0.1220172,-0.2209152,0.001945649,-0.001039223,0.9955646,-29.47825,9.342012,-25.25618,1003.657
2.598321438,0.2589334,0.1220172,-0.09859026,0.004373485,-5.161809E-05,0.9960392,-29.47825,9.342012,-25.25618,1003.659
2.618137360,0.1976999,0.1220172,-0.2209152,0.002440199,0.0004357849,1.000396,-29.47825,9.342012,-25.25618,1003.659
2.640429497,0.1364664,0.0615045,-0.2820776,0.003890435,-5.179131E-05,0.9970071,-29.16876,9.352549,-24.87732,1003.66
2.660245419,0.0139995,0.1220172,-0.2820776,0.002892143,0.003346959,0.9950994,-29.16876,9.352549,-24.87732,1003.66
2.680061340,0.1364664,0.0615045,-0.1597527,0.002930847,-0.002980716,0.996032,-29.17451,9.719244,-24.8838,1003.655
